Código MTE,Período,Estoque,Admissões,Desligamentos,Saldos,Variação Relativa (%),Nome,Latitude,Longitude,Código IBGE,ID Reg. Adm.,Apelido Reg. Adm.,Rotatividade
354450,Outubro/2020,376.0,14,8,6,1.62,Rubinéia,-20.1759,-51.007,3544509,13,São José do Rio Preto,0.02925531914893617
354460,Outubro/2020,338.0,9,5,4,1.2,Sabino,-21.4593,-49.5755,3544608,4,Bauru,0.020710059171597635
354470,Outubro/2020,117.0,2,0,2,1.74,Sagres,-21.8823,-50.9594,3544707,9,Presidente Prudente,0.008547008547008548
354480,Outubro/2020,572.0,29,16,13,2.33,Sales,-21.3427,-49.4897,3544806,13,São José do Rio Preto,0.039335664335664336
354490,Outubro/2020,2227.0,57,67,-10,-0.45,Sales Oliveira,-20.7696,-47.8369,3544905,6,Franca,0.02784014369106421
354500,Outubro/2020,1752.0,31,32,-1,-0.06,Salesópolis,-23.5288,-45.8465,3545001,15,São Paulo,0.01797945205479452
354510,Outubro/2020,295.0,45,3,42,16.6,Salmourão,-21.6267,-50.8614,3545100,9,Presidente Prudente,0.08135593220338982
354515,Outubro/2020,1398.0,78,48,30,2.19,Saltinho,-22.8442,-47.6754,3545159,5,Campinas,0.045064377682403435
354520,Outubro/2020,31465.0,1439,965,474,1.53,Salto,-23.1996,-47.2931,3545209,16,Sorocaba,0.03820117590974098
354530,Outubro/2020,5328.0,236,185,51,0.97,Salto de Pirapora,-23.6474,-47.5743,3545308,16,Sorocaba,0.03950825825825826
354540,Outubro/2020,1467.0,31,20,11,0.76,Salto Grande,-22.8894,-49.9831,3545407,8,Marília,0.017382413087934562
354550,Outubro/2020,1374.0,25,8,17,1.25,Sandovalina,-22.4551,-51.7648,3545506,9,Presidente Prudente,0.012008733624454149
354560,Outubro/2020,4044.0,69,47,22,0.55,Santa Adélia,-21.2427,-48.8063,3545605,13,São José do Rio Preto,0.014342235410484669
354570,Outubro/2020,2813.0,15,99,-84,-2.9,Santa Albertina,-20.0311,-50.7297,3545704,13,São José do Rio Preto,0.0202630643441166
354580,Outubro/2020,45909.0,1887,1570,317,0.7,Santa Bárbara d'Oeste,-22.7553,-47.4143,3545803,5,Campinas,0.03765056960508833
354600,Outubro/2020,2067.0,61,39,22,1.08,Santa Branca,-23.3933,-45.8875,3546009,14,São José dos Campos,0.024189646831156264
354610,Outubro/2020,672.0,72,181,-109,-13.96,Santa Clara d'Oeste,-20.09,-50.9491,3546108,13,São José do Rio Preto,0.18824404761904762
354620,Outubro/2020,1018.0,23,35,-12,-1.17,Santa Cruz da Conceição,-22.1405,-47.4512,3546207,5,Campinas,0.02848722986247544
354625,Outubro/2020,425.0,5,8,-3,-0.7,Santa Cruz da Esperança,-21.2951,-47.4304,3546256,11,Ribeirão Preto,0.015294117647058824
354630,Outubro/2020,5698.0,127,893,-766,-11.85,Santa Cruz das Palmeiras,-21.8235,-47.24800000000001,3546306,5,Campinas,0.08950508950508951
354640,Outubro/2020,14990.0,678,442,236,1.6,Santa Cruz do Rio Pardo,-22.8988,-49.6354,3546405,8,Marília,0.037358238825883926
354650,Outubro/2020,303.0,4,17,-13,-4.11,Santa Ernestina,-21.4618,-48.3953,3546504,1,São Carlos,0.034653465346534656
