Código MTE,Período,Estoque,Admissões,Desligamentos,Saldos,Variação Relativa (%),Nome,Latitude,Longitude,Código IBGE,ID Reg. Adm.,Apelido Reg. Adm.
355660,Junho/2020,871.0,18,21,-3,-0.34,Vera Cruz,-22.2183,-49.8207,3556602,8,Marília
355670,Junho/2020,37210.0,777,715,62,0.17,Vinhedo,-23.0302,-46.9833,3556701,5,Campinas
355680,Junho/2020,2330.0,47,32,15,0.65,Viradouro,-20.8734,-48.293,3556800,3,Barretos
355690,Junho/2020,4367.0,50,42,8,0.18,Vista Alegre do Alto,-21.1692,-48.6284,3556909,3,Barretos
355695,Junho/2020,91.0,7,2,5,5.81,Vitória Brasil,-20.1956,-50.4875,3556958,13,São José do Rio Preto
355700,Junho/2020,16493.0,433,579,-146,-0.88,Votorantim,-23.5446,-47.4388,3557006,16,Sorocaba
355710,Junho/2020,23782.0,746,686,60,0.25,Votuporanga,-20.4237,-49.9781,3557105,13,São José do Rio Preto
355715,Junho/2020,357.0,2,3,-1,-0.28,Zacarias,-21.0506,-50.0552,3557154,13,São José do Rio Preto
355720,Junho/2020,1291.0,16,22,-6,-0.46,Chavantes,-23.0366,-49.7096,3557204,8,Marília
355730,Junho/2020,1851.0,27,35,-8,-0.43,Estiva Gerbi,-22.2713,-46.9481,3557303,5,Campinas
350010,Julho/2020,9003.0,187,254,-67,-0.74,Adamantina,-21.682,-51.0737,3500105,9,Presidente Prudente
350020,Julho/2020,679.0,25,6,19,2.88,Adolfo,-21.2325,-49.6451,3500204,13,São José do Rio Preto
350030,Julho/2020,7284.0,217,168,49,0.68,Aguaí,-22.0572,-46.9735,3500303,5,Campinas
350040,Julho/2020,783.0,30,23,7,0.9,Águas da Prata,-21.9319,-46.7176,3500402,5,Campinas
350050,Julho/2020,4591.0,78,57,21,0.46,Águas de Lindóia,-22.4733,-46.6314,3500501,5,Campinas
350055,Julho/2020,1220.0,21,24,-3,-0.25,Águas de Santa Bárbara,-22.8812,-49.2421,3500550,16,Sorocaba
350060,Julho/2020,952.0,44,28,16,1.71,Águas de São Pedro,-22.5977,-47.8734,3500600,5,Campinas
350070,Julho/2020,7545.0,286,235,51,0.68,Agudos,-22.4694,-48.9863,3500709,4,Bauru
350075,Julho/2020,659.0,20,11,9,1.38,Alambari,-23.5503,-47.898,3500758,16,Sorocaba
350080,Julho/2020,1068.0,203,9,194,22.2,Alfredo Marcondes,-21.9527,-51.414,3500808,9,Presidente Prudente
350090,Julho/2020,766.0,16,2,14,1.86,Altair,-20.5242,-49.0571,3500907,3,Barretos
350100,Julho/2020,3057.0,31,42,-11,-0.36,Altinópolis,-21.0214,-47.3712,3501004,11,Ribeirão Preto
350110,Julho/2020,592.0,17,1,16,2.78,Alto Alegre,-21.5811,-50.168,3501103,2,Araçatuba
350115,Julho/2020,6475.0,90,54,36,0.56,Alumínio,-23.5306,-47.2546,3501152,16,Sorocaba
350120,Julho/2020,496.0,3,4,-1,-0.2,Álvares Florence,-20.3203,-49.9141,3501202,13,São José do Rio Preto
350130,Julho/2020,2675.0,41,87,-46,-1.69,Álvares Machado,-22.0764,-51.4722,3501301,9,Presidente Prudente
350140,Julho/2020,200.0,0,1,-1,-0.5,Álvaro de Carvalho,-22.0841,-49.719,3501400,8,Marília
350150,Julho/2020,345.0,0,0,0,0.0,Alvinlândia,-22.4435,-49.7623,3501509,8,Marília
350160,Julho/2020,69041.0,2075,2016,59,0.09,Americana,-22.7374,-47.3331,3501608,5,Campinas
350170,Julho/2020,9769.0,206,204,2,0.02,Américo Brasiliense,-21.7288,-48.1147,3501707,1,São Carlos
350180,Julho/2020,272.0,5,14,-9,-3.2,Américo de Campos,-20.2985,-49.7359,3501806,13,São José do Rio Preto
